Order_ID,Order_Date,Ship_Date,Region,Segment,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-2022-00033,2022-04-06,2022-04-15,West,Consumer,Office Supplies,Labels,Address Label Roll,10599.39,7,0.2,-3513.9
ORD-2022-00034,2023-11-30,2023-12-04,South,Consumer,Furniture,Bookcases,Bookcase Pro 5-Shelf,74908.66,9,0.3,-30053.69
ORD-2022-00035,2022-01-25,2022-01-30,East,Consumer,Technology,Accessories,Wireless Mouse Combo,56164.66,7,0.1,-4714.6
ORD-2022-00036,2023-10-20,2023-10-28,North,Consumer,Technology,Printers,HP LaserJet Pro,44767.55,6,0.15,1225.82
ORD-2022-00037,2022-12-05,2022-12-14,South,Consumer,Office Supplies,Labels,Address Label Roll,13808.91,7,0.0,4002.23
ORD-2022-00038,2023-06-15,2023-06-23,South,Consumer,Furniture,Chairs,Executive Leather Chair,13644.16,4,0.1,-775.21
ORD-2022-00039,2023-01-04,2023-01-06,West,Consumer,Furniture,Chairs,Executive Leather Chair,7816.6,5,0.2,-428.89
ORD-2022-00040,2022-11-01,2022-11-08,North,Corporate,Technology,Laptops,HP Pavilion 14,216515.14,3,0.0,69365.22
ORD-2022-00041,2022-01-08,2022-01-11,North,Corporate,Office Supplies,Paper,Photo Glossy Paper,9750.35,5,0.05,268.5
ORD-2022-00042,2023-07-12,2023-07-16,West,Corporate,Technology,Printers,HP LaserJet Pro,305323.64,9,0.25,-131000.54
ORD-2022-00043,2022-08-12,2022-08-20,North,Consumer,Office Supplies,Pens & Art,Ballpoint Pen Box,10001.22,6,0.0,1161.54
ORD-2022-00044,2023-04-21,2023-04-23,South,Home Office,Office Supplies,Pens & Art,Ballpoint Pen Box,10846.68,7,0.0,2187.2
ORD-2022-00045,2023-12-18,2023-12-23,North,Home Office,Office Supplies,Labels,Barcode Label Set,746.08,8,0.1,-81.59
ORD-2022-00046,2023-02-05,2023-02-14,South,Corporate,Office Supplies,Binders,Premium Binder A4,3239.67,2,0.2,-799.58
ORD-2022-00047,2023-03-11,2023-03-19,East,Consumer,Office Supplies,Binders,Presentation Binder,7497.17,7,0.05,1309.72
ORD-2022-00048,2022-03-10,2022-03-13,East,Corporate,Furniture,Chairs,Guest Chair,40988.86,3,0.1,3744.75
ORD-2022-00049,2022-10-08,2022-10-12,West,Consumer,Office Supplies,Labels,Barcode Label Set,389.08,3,0.0,40.44
ORD-2022-00050,2022-12-12,2022-12-19,South,Consumer,Office Supplies,Binders,Presentation Binder,2069.7,9,,39.51
ORD-2022-00051,2022-09-14,2022-09-23,East,Consumer,Furniture,Tables,Study Desk Compact,98966.51,8,0.05,20195.69
ORD-2022-00052,2022-01-07,2022-01-11,West,Consumer,Office Supplies,Pens & Art,Ballpoint Pen Box,1844.91,2,0.0,335.53
ORD-2022-00053,2022-08-19,2022-08-26,South,Corporate,Furniture,Bookcases,Bookcase Pro 5-Shelf,48449.05,4,0.1,
ORD-2022-00054,2023-01-04,2023-01-09,North,Consumer,Furniture,Chairs,Executive Leather Chair,12973.3,2,0.05,-127.99
ORD-2022-00055,2023-09-16,2023-09-21,West,Consumer,Furniture,Chairs,Guest Chair,179766.02,8,0.1,32076.8
ORD-2022-00056,2022-03-16,2022-03-21,North,Home Office,Technology,Laptops,HP Pavilion 14,197436.69,3,0.15,6964.55
ORD-2022-00057,2023-12-25,2023-12-27,East,Consumer,Office Supplies,Binders,Economy Binder Set,7100.49,6,0.05,-44.4
ORD-2022-00058,2023-10-12,2023-10-17,North,Home Office,Office Supplies,Labels,Address Label Roll,276.43,5,0.05,58.45
ORD-2022-00059,2022-08-24,2022-08-27,North,Consumer,Office Supplies,Binders,Economy Binder Set,539.0,3,0.1,-81.69
ORD-2022-00060,2022-10-18,2022-10-24,North,Corporate,Furniture,Chairs,Executive Leather Chair,32987.27,4,0.1,-403.4
ORD-2022-00061,2022-01-23,2022-01-31,South,Corporate,Furniture,Bookcases,Bookcase Pro 5-Shelf,94713.56,7,0.0,18612.41
ORD-2022-00062,2023-07-08,2023-07-17,North,Consumer,Technology,Phones,OnePlus Nord CE 3,323354.83,7,0.3,-72493.94
ORD-2022-00063,2023-06-06,2023-06-12,West,Corporate,Furniture,Chairs,Ergonomic Office Chair,46786.02,4,0.1,-1.25
ORD-2022-00064,2023-02-15,2023-02-23,East,Corporate,Office Supplies,Paper,Carbon Paper,8311.29,5,0.0,1615.48
ORD-2022-00065,2022-08-06,2022-08-12,North,Consumer,Furniture,Bookcases,Bookcase Pro 5-Shelf,174936.29,8,0.1,12768.43
ORD-2022-00066,2023-08-27,2023-09-04,East,Home Office,Office Supplies,Binders,Economy Binder Set,13510.86,8,0.0,1684.68
ORD-2022-00067,2022-01-01,2022-01-09,South,Home Office,Furniture,Tables,Dining Table Oak,168607.05,9,0.15,-34971.02
ORD-2022-00068,2023-01-21,2023-01-29,South,Consumer,Office Supplies,Binders,Presentation Binder,1602.12,3,0.0,262.9
ORD-2022-00069,2023-10-28,2023-11-02,North,Consumer,Office Supplies,Binders,Premium Binder A4,1136.75,1,0.0,182.89
ORD-2022-00070,2023-03-11,2023-03-15,East,Corporate,Furniture,Chairs,Ergonomic Office Chair,1395.47,1,0.1,99.64
ORD-2022-00071,2022-04-23,2022-04-26,South,Consumer,Technology,Printers,HP LaserJet Pro,552427.37,8,0.25,-151583.55
ORD-2022-00072,2023-04-21,2023-04-30,East,Home Office,Office Supplies,Binders,Premium Binder A4,3815.58,7,0.05,205.64
ORD-2022-00073,2023-08-27,2023-09-04,East,Consumer,Technology,Printers,Canon Pixma G3010,517620.25,8,0.3,-210189.85
ORD-2022-00074,2022-11-26,2022-12-04,East,Consumer,Technology,Printers,HP LaserJet Pro,140930.67,3,0.1,-2342.67
ORD-2022-00075,2023-04-16,2023-04-24,North,Consumer,Office Supplies,Paper,Photo Glossy Paper,8104.02,9,0.1,-1316.41
ORD-2022-00076,2023-12-28,2024-01-06,North,Corporate,Office Supplies,Binders,Economy Binder Set,9955.68,9,0.0,3040.77
ORD-2022-00077,2022-04-19,2022-04-22,North,Consumer,Furniture,Chairs,Ergonomic Office Chair,50812.89,4,0.05,9728.7
ORD-2022-00078,2022-01-27,2022-01-29,North,Consumer,Office Supplies,Paper,A4 Copy Paper 500-Sheet,9124.51,9,0.05,1656.04
ORD-2022-00079,2022-12-29,2022-12-31,North,Consumer,Office Supplies,Paper,A4 Copy Paper 500-Sheet,8411.52,5,0.1,-400.28
ORD-2022-00080,2023-10-26,2023-11-02,North,Consumer,Office Supplies,Paper,Carbon Paper,1463.71,4,0.2,-534.6
ORD-2022-00081,2022-03-14,2022-03-16,South,Corporate,Office Supplies,Binders,Presentation Binder,7183.31,8,0.1,551.29
ORD-2022-00082,2022-10-02,2022-10-08,North,Corporate,Technology,Phones,Samsung Galaxy A34,325112.91,9,0.0,90284.09
ORD-2022-00083,2023-01-09,2023-01-18,West,Home Office,Furniture,Bookcases,Bookcase Classic 3-Shelf,212665.08,9,0.15,-47643.85
ORD-2022-00084,2022-12-01,2022-12-07,East,Corporate,Furniture,Storage,Storage Box Set,139901.13,7,0.0,30926.17
ORD-2022-00085,2022-06-01,2022-06-05,East,Corporate,Office Supplies,Pens & Art,Ballpoint Pen Box,7280.1,8,0.1,-173.85
ORD-2022-00086,2022-06-10,2022-06-19,South,Home Office,Technology,Laptops,Lenovo IdeaPad Slim 5,209135.49,3,0.0,69756.78
ORD-2022-00087,2022-01-29,2022-02-05,North,Consumer,Furniture,Storage,File Cabinet 4-Drawer,57250.65,8,0.0,12656.98
ORD-2022-00088,2023-03-05,2023-03-12,North,Consumer,Technology,Laptops,HP Pavilion 14,20668.9,5,0.0,3798.29
ORD-2022-00089,2022-03-02,2022-03-08,North,Corporate,Office Supplies,Labels,Color Dot Labels,7691.46,8,0.2,-3386.31
ORD-2022-00090,2022-08-31,2022-09-06,North,Home Office,Furniture,Bookcases,Bookcase Classic 3-Shelf,45609.64,9,0.05,9138.98
ORD-2022-00091,2023-07-27,2023-07-31,South,Home Office,Technology,Laptops,Dell Inspiron 15,575015.54,8,0.1,-112027.19
ORD-2022-00092,2022-09-24,2022-09-26,South,Consumer,Furniture,Bookcases,Bookcase Pro 5-Shelf,71740.39,3,0.15,-1136.41
ORD-2022-00093,2022-02-07,2022-02-16,East,Corporate,Furniture,Chairs,Executive Leather Chair,29472.44,5,0.0,6297.95
ORD-2022-00094,2023-11-29,2023-12-03,South,Home Office,Office Supplies,Pens & Art,Ballpoint Pen Box,1763.33,1,0.1,102.12
ORD-2022-00095,2022-12-11,2022-12-17,East,Corporate,Office Supplies,Paper,Carbon Paper,8838.49,5,,-755.45
ORD-2022-00096,2022-03-23,2022-03-28,East,Corporate,Technology,Printers,Epson L3252,47066.84,2,0.15,-10237.24
ORD-2022-00097,2023-11-06,2023-11-15,North,Consumer,Technology,Laptops,Dell Inspiron 15,55752.55,2,0.15,-2604.9
ORD-2022-00098,2022-07-11,2022-07-13,East,Consumer,Office Supplies,Paper,A4 Copy Paper 500-Sheet,7564.71,6,0.2,-1386.6
ORD-2022-00099,2023-01-16,2023-01-21,North,Home Office,Furniture,Chairs,Guest Chair,20059.39,3,0.0,6719.13
ORD-2022-00100,2022-09-28,2022-10-06,West,Consumer,Furniture,Storage,Storage Box Set,66142.1,4,0.3,-44837.52
ORD-2022-00101,2022-03-25,2022-04-01,East,Consumer,Office Supplies,Pens & Art,Ballpoint Pen Box,2990.47,6,0.05,118.65
ORD-2022-00102,2023-08-07,2023-08-12,North,Corporate,Technology,Phones,Redmi Note 12,122146.2,2,0.15,-4289.46
ORD-2022-00103,2022-06-02,2022-06-09,North,Home Office,Furniture,Storage,File Cabinet 4-Drawer,36154.4,6,0.1,881.6
ORD-2022-00104,2023-12-22,2023-12-31,South,Consumer,Office Supplies,Paper,Photo Glossy Paper,3712.45,6,0.1,-487.74
ORD-2022-00105,2023-02-05,2023-02-10,West,Home Office,Furniture,Storage,Storage Box Set,33921.39,6,0.15,-8332.86
ORD-2022-00106,2023-08-12,2023-08-17,South,Corporate,Furniture,Chairs,Guest Chair,41250.6,2,0.1,-7049.47
ORD-2022-00107,2022-03-14,2022-03-22,East,Consumer,Furniture,Storage,Storage Box Set,35266.12,4,0.0,8035.38
ORD-2022-00108,2023-05-30,2023-06-07,South,Corporate,Office Supplies,Pens & Art,Sketch Pen Set 24,7241.36,6,0.05,424.13
ORD-2022-00109,2023-09-23,2023-09-29,East,Consumer,Office Supplies,Paper,Photo Glossy Paper,2647.73,2,0.05,-8.56
ORD-2022-00110,2022-07-26,2022-07-28,West,Corporate,Furniture,Bookcases,Bookcase Pro 5-Shelf,87396.69,8,0.05,-4299.73
ORD-2022-00111,2023-02-24,2023-02-27,East,Consumer,Office Supplies,Paper,Carbon Paper,3192.53,2,0.0,564.98
ORD-2022-00112,2022-01-21,2022-01-29,North,Consumer,Technology,Printers,Canon Pixma G3010,356280.47,7,0.1,-41652.38
ORD-2022-00113,2023-01-16,2023-01-24,East,Corporate,Office Supplies,Labels,Barcode Label Set,2582.1,7,0.0,664.42
ORD-2022-00114,2023-11-07,2023-11-13,North,Corporate,Furniture,Chairs,Guest Chair,27954.41,6,0.05,2870.53
ORD-2022-00115,2023-05-28,2023-05-30,North,Corporate,Furniture,Bookcases,Bookcase Pro 5-Shelf,46199.68,5,0.15,-10114.45
ORD-2022-00116,2022-09-08,2022-09-14,North,Consumer,Technology,Phones,Redmi Note 12,374895.85,5,0.0,124520.25
ORD-2022-00117,2022-07-25,2022-07-30,North,Corporate,Technology,Printers,Epson L3252,52783.9,2,0.3,-20233.49
ORD-2022-00118,2022-05-31,2022-06-09,North,Consumer,Furniture,Chairs,Executive Leather Chair,31348.49,7,0.15,-9355.06
ORD-2022-00119,2022-07-12,2022-07-20,West,Corporate,Office Supplies,Paper,Photo Glossy Paper,2509.6,2,0.0,831.57
ORD-2022-00120,2022-05-27,2022-06-04,East,Corporate,Office Supplies,Binders,Premium Binder A4,3997.71,2,0.05,725.28
ORD-2022-00121,2023-05-04,2023-05-08,West,Corporate,Office Supplies,Paper,Photo Glossy Paper,4875.9,3,0.05,1057.09
ORD-2022-00122,2023-08-24,2023-08-30,South,Corporate,Office Supplies,Pens & Art,Highlighter 6-Pack,3959.09,5,0.05,490.5
ORD-2022-00123,2023-09-14,2023-09-21,East,Corporate,Office Supplies,Pens & Art,Ballpoint Pen Box,8497.68,8,0.0,1552.13
ORD-2022-00124,2022-10-27,2022-11-01,East,Home Office,Technology,Laptops,HP Pavilion 14,114933.76,2,0.1,18552.7
ORD-2022-00125,2023-12-16,2023-12-20,North,Corporate,Technology,Laptops,Lenovo IdeaPad Slim 5,27946.93,2,0.15,-384.69
ORD-2022-00126,2022-04-16,2022-04-21,East,Corporate,Office Supplies,Binders,Economy Binder Set,9619.54,9,0.1,-620.02
ORD-2022-00127,2023-03-21,2023-03-24,West,Home Office,Office Supplies,Paper,Carbon Paper,6737.65,6,0.2,
ORD-2022-00128,2022-01-26,2022-01-28,East,Corporate,Furniture,Bookcases,Bookcase Pro 5-Shelf,154909.16,8,0.05,21499.94
ORD-2022-00129,2022-05-26,2022-05-30,East,Corporate,Office Supplies,Paper,A4 Copy Paper 500-Sheet,1486.9,1,0.0,128.44
ORD-2022-00130,2022-06-09,2022-06-13,North,Corporate,Office Supplies,Binders,Premium Binder A4,17785.64,9,0.05,1187.98
ORD-2022-00131,2022-10-07,2022-10-12,West,Consumer,Office Supplies,Paper,Photo Glossy Paper,10896.3,7,0.05,934.89
ORD-2022-00132,2023-12-09,2023-12-15,South,Consumer,Furniture,Bookcases,Bookcase Classic 3-Shelf,35715.56,5,0.1,885.86
ORD-2022-00133,2022-06-21,2022-06-24,South,Corporate,Technology,Accessories,USB Hub 7-Port,22253.09,4,0.15,-86.98
ORD-2022-00134,2023-03-22,2023-03-29,South,Corporate,Technology,Phones,Redmi Note 12,226980.74,7,0.0,51249.62
ORD-2022-00135,2023-02-10,2023-02-13,East,Home Office,Technology,Phones,OnePlus Nord CE 3,227730.32,4,0.0,40362.2
ORD-2022-00136,2023-03-25,2023-03-29,West,Consumer,Furniture,Chairs,Executive Leather Chair,31242.56,7,0.1,-1236.94
ORD-2022-00137,2023-11-09,2023-11-12,East,Consumer,Office Supplies,Paper,Photo Glossy Paper,1952.95,6,0.0,168.31
ORD-2022-00138,2022-07-25,2022-07-30,East,Home Office,Technology,Laptops,Dell Inspiron 15,153883.4,6,0.15,1150.31
ORD-2022-00139,2022-01-25,2022-01-31,South,Consumer,Furniture,Chairs,Ergonomic Office Chair,9836.61,4,0.0,3274.03
ORD-2022-00140,2023-03-23,2023-03-30,North,Corporate,Furniture,Chairs,Guest Chair,29904.87,3,0.0,6305.22
ORD-2022-00141,2023-04-08,2023-04-10,South,Consumer,Furniture,Bookcases,Bookcase Pro 5-Shelf,14565.83,3,0.1,-627.72
ORD-2022-00142,2022-08-09,2022-08-14,East,Corporate,Technology,Laptops,Lenovo IdeaPad Slim 5,355095.27,5,0.1,-29229.9
ORD-2022-00143,2023-08-21,2023-08-27,North,Home Office,Office Supplies,Pens & Art,Ballpoint Pen Box,9546.95,6,0.0,2359.2
ORD-2022-00144,2023-05-08,2023-05-14,North,Home Office,Furniture,Storage,File Cabinet 4-Drawer,21040.06,3,0.1,-1026.46
ORD-2022-00145,2023-09-16,2023-09-21,East,Corporate,Technology,Phones,Samsung Galaxy A34,191265.5,6,0.3,-117901.24
ORD-2022-00146,2023-07-14,2023-07-20,North,Consumer,Technology,Printers,HP LaserJet Pro,371145.81,7,0.25,-174960.72
ORD-2022-00147,2023-02-20,2023-02-25,South,Consumer,Office Supplies,Binders,Premium Binder A4,10127.81,7,0.0,3425.79
ORD-2022-00148,2023-01-01,2023-01-06,South,Consumer,Technology,Accessories,Laptop Cooling Pad,43768.38,3,0.0,6633.65
ORD-2022-00149,2022-08-08,2022-08-10,North,Consumer,Technology,Phones,Samsung Galaxy A34,107308.3,2,0.0,10591.19
ORD-2022-00150,2023-01-05,2023-01-08,East,Consumer,Furniture,Storage,Storage Box Set,74444.28,6,0.1,-2551.05
ORD-2022-00151,2023-02-06,2023-02-14,North,Home Office,Office Supplies,Paper,Photo Glossy Paper,3322.65,9,0.05,458.46
ORD-2022-00152,2022-05-02,2022-05-11,South,Consumer,Technology,Printers,HP LaserJet Pro,102353.61,2,0.05,14540.86
ORD-2022-00153,2022-09-13,2022-09-20,East,Consumer,Furniture,Storage,File Cabinet 4-Drawer,6289.24,2,0.0,1332.48
ORD-2022-00154,2022-10-05,2022-10-09,East,Consumer,Office Supplies,Pens & Art,Highlighter 6-Pack,6910.76,6,0.05,1371.77
ORD-2022-00155,2023-10-18,2023-10-27,North,Corporate,Office Supplies,Binders,Presentation Binder,895.74,2,0.05,26.08
ORD-2022-00156,2023-05-15,2023-05-20,North,Home Office,Technology,Laptops,Dell Inspiron 15,690114.78,9,0.1,-82112.95
ORD-2022-00157,2022-05-12,2022-05-20,South,Consumer,Office Supplies,Labels,Barcode Label Set,956.26,3,0.0,84.01
ORD-2022-00158,2022-01-20,2022-01-22,East,Corporate,Office Supplies,Paper,Carbon Paper,2024.54,8,0.0,427.95
ORD-2022-00159,2022-07-07,2022-07-12,South,Consumer,Office Supplies,Pens & Art,Sketch Pen Set 24,5614.12,8,0.1,20.39
ORD-2022-00160,2022-07-02,2022-07-04,South,Consumer,Furniture,Storage,File Cabinet 4-Drawer,210251.49,9,0.05,43785.02
ORD-2022-00161,2022-03-19,2022-03-24,South,Corporate,Office Supplies,Labels,Address Label Roll,10375.4,9,0.1,2.04
ORD-2022-00162,2023-07-17,2023-07-23,North,Consumer,Technology,Laptops,Lenovo IdeaPad Slim 5,337405.69,5,0.0,70990.7
ORD-2022-00163,2022-10-22,2022-10-25,West,Consumer,Technology,Printers,Canon Pixma G3010,120469.74,9,0.15,-22029.14
ORD-2022-00164,2023-09-10,2023-09-17,North,Home Office,Furniture,Tables,Coffee Table Glass,195067.59,8,0.05,12809.87
ORD-2022-00165,2023-09-11,2023-09-16,East,Home Office,Office Supplies,Binders,Economy Binder Set,1555.12,1,0.1,91.52
ORD-2022-00166,2023-03-02,2023-03-05,South,Corporate,Furniture,Bookcases,Bookcase Pro 5-Shelf,33924.93,5,0.0,6963.49
ORD-2022-00167,2023-03-21,2023-03-23,North,Consumer,Office Supplies,Pens & Art,Sketch Pen Set 24,15378.31,9,0.0,4801.69
ORD-2022-00168,2023-08-21,2023-08-23,South,Consumer,Furniture,Chairs,Executive Leather Chair,11001.45,1,0.1,-1902.77
ORD-2022-00169,2023-11-10,2023-11-17,North,Corporate,Technology,Laptops,Lenovo IdeaPad Slim 5,14744.88,3,0.2,-4048.85
ORD-2022-00170,2022-08-02,2022-08-10,North,Consumer,Technology,Laptops,HP Pavilion 14,406497.91,9,0.2,-121005.46
ORD-2022-00171,2023-07-08,2023-07-13,East,Corporate,Office Supplies,Pens & Art,Ballpoint Pen Box,464.29,2,0.0,48.93
ORD-2022-00172,2023-04-30,2023-05-06,South,Home Office,Office Supplies,Pens & Art,Sketch Pen Set 24,8514.97,8,0.0,2091.6
ORD-2022-00173,2022-02-09,2022-02-16,North,Home Office,Furniture,Storage,File Cabinet 4-Drawer,56439.62,5,0.0,16761.04
ORD-2022-00174,2023-07-29,2023-08-04,West,Consumer,Office Supplies,Binders,Economy Binder Set,7977.21,4,0.0,2117.57
ORD-2022-00175,2023-10-28,2023-11-04,South,Consumer,Technology,Printers,HP LaserJet Pro,591028.47,9,0.1,-39025.73
ORD-2022-00176,2023-12-26,2024-01-04,South,Consumer,Technology,Printers,Canon Pixma G3010,48725.51,5,0.0,15808.85
ORD-2022-00177,2022-03-16,2022-03-18,South,Consumer,Office Supplies,Binders,Premium Binder A4,332.03,3,0.0,26.9
ORD-2022-00178,2023-10-22,2023-10-27,West,Corporate,Furniture,Storage,Wardrobe 3-Door,52520.07,3,0.05,-464.01
ORD-2022-00179,2023-10-16,2023-10-21,West,Consumer,Technology,Accessories,Wireless Mouse Combo,104681.74,2,0.25,-34762.56
ORD-2022-00180,2023-05-16,2023-05-25,North,Home Office,Office Supplies,Pens & Art,Sketch Pen Set 24,340.4,4,0.2,-135.44
ORD-2022-00181,2023-03-02,2023-03-06,West,Corporate,Furniture,Tables,Coffee Table Glass,71697.62,9,0.05,-1246.09
ORD-2022-00182,2023-04-10,2023-04-17,North,Corporate,Office Supplies,Labels,Address Label Roll,3148.07,5,0.0,1019.29
ORD-2022-00183,2023-09-14,2023-09-21,West,Consumer,Furniture,Tables,Dining Table Oak,7489.61,1,0.05,826.8
ORD-2022-00184,2023-11-15,2023-11-17,East,Consumer,Office Supplies,Binders,Presentation Binder,176.14,1,0.05,-7.24
ORD-2022-00185,2023-06-11,2023-06-13,South,Corporate,Furniture,Chairs,Ergonomic Office Chair,34225.59,3,0.1,-2381.09
ORD-2022-00186,2023-08-02,2023-08-09,North,Consumer,Furniture,Tables,Study Desk Compact,116131.67,9,0.0,20636.64
ORD-2022-00187,2023-10-10,2023-10-14,North,Home Office,Technology,Phones,Samsung Galaxy A34,50103.56,1,0.1,450.08
ORD-2022-00188,2022-07-09,2022-07-18,North,Consumer,Furniture,Chairs,Guest Chair,56220.96,5,0.05,1054.75
ORD-2022-00189,2023-06-13,2023-06-22,South,Consumer,Technology,Accessories,Wireless Mouse Combo,279222.22,7,0.15,-44564.45
ORD-2022-00190,2022-11-28,2022-12-07,West,Consumer,Office Supplies,Labels,Address Label Roll,1656.39,1,0.0,417.13
ORD-2022-00191,2023-12-28,2023-12-30,East,Consumer,Office Supplies,Paper,Photo Glossy Paper,939.66,1,0.05,190.27
ORD-2022-00192,2023-10-17,2023-10-19,West,Consumer,Office Supplies,Binders,Economy Binder Set,3563.35,2,0.0,396.42
ORD-2022-00193,2023-03-30,2023-04-03,East,Home Office,Office Supplies,Pens & Art,Sketch Pen Set 24,13192.2,8,0.05,-28.58
ORD-2022-00194,2023-07-28,2023-07-30,North,Corporate,Office Supplies,Labels,Address Label Roll,10193.57,6,0.05,574.71
ORD-2022-00195,2022-07-07,2022-07-12,East,Corporate,Technology,Printers,Epson L3252,314406.27,9,0.05,35958.99
ORD-2022-00196,2023-11-10,2023-11-13,North,Consumer,Office Supplies,Labels,Address Label Roll,12285.75,8,0.05,1312.15
ORD-2022-00197,2023-04-20,2023-04-27,East,Consumer,Furniture,Storage,File Cabinet 4-Drawer,75460.37,8,0.3,-18670.01
ORD-2022-00198,2023-01-11,2023-01-20,South,Consumer,Technology,Printers,Canon Pixma G3010,444662.86,6,0.1,-46009.7
ORD-2022-00199,2022-05-02,2022-05-08,South,Consumer,Office Supplies,Pens & Art,Highlighter 6-Pack,7354.43,6,0.0,2496.88
ORD-2022-00200,2022-10-05,2022-10-10,West,Consumer,Office Supplies,Binders,Economy Binder Set,3188.82,6,0.1,302.49
ORD-2022-00201,2023-01-18,2023-01-23,North,Home Office,Technology,Printers,Epson L3252,46773.03,1,0.0,9916.0
ORD-2022-00202,2022-04-14,2022-04-21,East,Corporate,Office Supplies,Binders,Presentation Binder,1692.85,5,0.2,-613.09
ORD-2022-00203,2023-11-16,2023-11-24,West,Home Office,Furniture,Tables,Study Desk Compact,99790.81,5,0.2,
ORD-2022-00204,2023-08-05,2023-08-13,South,Consumer,Office Supplies,Pens & Art,Ballpoint Pen Box,7283.09,8,0.0,2009.72
